geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037113425,113425,2022,1370,69779.109,67031
1400000US06037113426,113426,2022,731,66363.594,63750
1400000US06037113427,113427,2022,989,64615.762,62071
1400000US06037113428,113428,2022,1105,122364.06,117545
1400000US06037115101,115101,2022,1963,156441.13,150280
1400000US06037115103,115103,2022,22,,
1400000US06037115104,115104,2022,2256,63169.816,60682
1400000US06037115202,115202,2022,2138,69255.492,66528
1400000US06037115203,115203,2022,1189,94002.086,90300
1400000US06037115204,115204,2022,1780,116100.38,111528
1400000US06037115301,115301,2022,1749,108153.41,103894
1400000US06037115302,115302,2022,1078,79376.07,76250
1400000US06037115401,115401,2022,2037,61324.129,58909
1400000US06037115403,115403,2022,1093,86272.68,82875
1400000US06037115404,115404,2022,890,96032.031,92250
1400000US06037117101,117101,2022,1522,106846.95,102639
1400000US06037117102,117102,2022,861,94556.938,90833
1400000US06037117201,117201,2022,1278,53502.07,51395
1400000US06037117202,117202,2022,951,111712.58,107313
1400000US06037117301,117301,2022,1130,134565.59,129266
1400000US06037117302,117302,2022,1705,124202.47,119311
1400000US06037117303,117303,2022,1205,127101.64,122096
1400000US06037117404,117404,2022,1396,133061.36,127821
1400000US06037117405,117405,2022,909,43180.582,41480
1400000US06037117407,117407,2022,1027,50322.867,48341
1400000US06037117408,117408,2022,735,52793.152,50714
1400000US06037117510,117510,2022,1129,64411.727,61875
1400000US06037117520,117520,2022,1107,55753.75,53558
1400000US06037117530,117530,2022,1748,56894.684,54654
1400000US06037119001,119001,2022,1033,109862.73,105536
1400000US06037119003,119003,2022,873,110996.37,106625
1400000US06037119004,119004,2022,795,77424.195,74375
1400000US06037119201,119201,2022,903,105835.1,101667
1400000US06037119202,119202,2022,1150,75791.914,72807
1400000US06037119310,119310,2022,1265,78686.93,75588
1400000US06037119320,119320,2022,1283,89846.422,86308
1400000US06037119340,119340,2022,1077,48948.75,47021
1400000US06037119341,119341,2022,865,53256.398,51159
1400000US06037119342,119342,2022,823,79197.016,76078
1400000US06037119400,119400,2022,1149,96867.953,93053
1400000US06037119700,119700,2022,1352,95783.234,92011
1400000US06037119801,119801,2022,631,98634.523,94750
1400000US06037119802,119802,2022,837,95734.305,91964
1400000US06037119900,119900,2022,1292,91593.219,87986
1400000US06037120010,120010,2022,763,63471.707,60972
1400000US06037120020,120020,2022,1270,45026.27,43253
1400000US06037120030,120030,2022,731,43917.605,42188
1400000US06037120103,120103,2022,850,36806.551,35357
1400000US06037120104,120104,2022,825,48883.164,46958
1400000US06037120105,120105,2022,883,47091.609,45237
1400000US06037120106,120106,2022,1357,40459.414,38866
1400000US06037120107,120107,2022,1124,41774.191,40129
1400000US06037120108,120108,2022,1475,57320.453,55063
1400000US06037120300,120300,2022,1523,69346.055,66615
1400000US06037120400,120400,2022,2086,71298.969,68491
1400000US06037121010,121010,2022,1260,86074.891,82685
1400000US06037121020,121020,2022,1145,73267.492,70382
1400000US06037121101,121101,2022,1032,69165.961,66442
1400000US06037121102,121102,2022,837,75609.734,72632
1400000US06037121210,121210,2022,851,74881.039,71932
1400000US06037121221,121221,2022,531,82131.586,78897
1400000US06037121222,121222,2022,1288,74790.477,71845
1400000US06037121600,121600,2022,863,104244.46,100139
1400000US06037121801,121801,2022,1280,47721.414,45842
1400000US06037121802,121802,2022,783,86871.25,83450
1400000US06037121900,121900,2022,1250,70007.086,67250
1400000US06037122000,122000,2022,1608,97285.391,93454
1400000US06037122120,122120,2022,1205,62220.426,59770
1400000US06037122121,122121,2022,804,64411.727,61875
1400000US06037122122,122122,2022,697,48041,46149
1400000US06037122200,122200,2022,952,67930.297,65255
1400000US06037122410,122410,2022,1235,57614.012,55345
1400000US06037122420,122420,2022,1370,78039.43,74966
1400000US06037123010,123010,2022,1037,50539.395,48549
1400000US06037123020,123020,2022,751,84581.055,81250
1400000US06037123103,123103,2022,1684,84171.945,80857
1400000US06037123104,123104,2022,1787,72116.148,69276
1400000US06037123203,123203,2022,1022,42616.359,40938
1400000US06037123204,123204,2022,1123,67196.398,64550
1400000US06037123205,123205,2022,807,55465.395,53281
1400000US06037123206,123206,2022,871,43461.648,41750
1400000US06037123301,123301,2022,1742,75647.211,72668
1400000US06037123303,123303,2022,918,72826.109,69958
1400000US06037123304,123304,2022,1833,45813.266,44009
1400000US06037123410,123410,2022,1276,53952.824,51828
1400000US06037123420,123420,2022,1636,56809.32,54572
1400000US06037123510,123510,2022,1692,49764.891,47805
1400000US06037123520,123520,2022,822,59801.148,57446
1400000US06037123601,123601,2022,1989,69374.164,66642
1400000US06037123602,123602,2022,1294,61111.766,58705
1400000US06037123700,123700,2022,1813,94488.227,90767
1400000US06037123800,123800,2022,2390,94661.039,90933
1400000US06037123901,123901,2022,1558,42841.215,41154
1400000US06037123902,123902,2022,1147,92063.75,88438
1400000US06037124000,124000,2022,2243,81711.023,78493
1400000US06037124102,124102,2022,1572,69883.211,67131
1400000US06037124103,124103,2022,595,60162.375,57793
1400000US06037124104,124104,2022,1120,52803.563,50724
1400000US06037124105,124105,2022,890,65421.496,62845
1400000US06037124201,124201,2022,1170,80551.352,77379
1400000US06037124203,124203,2022,823,66468.734,63851
1400000US06037124204,124204,2022,992,53008.641,50921
1400000US06037124300,124300,2022,1407,64985.316,62426
1400000US06037124400,124400,2022,1700,88440.031,84957
1400000US06037124500,124500,2022,1284,78725.445,75625
1400000US06037124600,124600,2022,1439,95201.313,91452
1400000US06037124700,124700,2022,2591,106039.14,101863
1400000US06037124902,124902,2022,1634,60563.16,58178
1400000US06037124903,124903,2022,1646,79019.008,75907
1400000US06037125101,125101,2022,2219,85109.883,81758
1400000US06037125102,125102,2022,868,165098.06,158596
1400000US06037125200,125200,2022,2114,91893.023,88274
1400000US06037125310,125310,2022,2390,60546.504,58162
1400000US06037125321,125321,2022,1510,55982.77,53778
1400000US06037125322,125322,2022,1729,35843.629,34432
1400000US06037125402,125402,2022,2162,89702.766,86170
1400000US06037125403,125403,2022,1495,84209.422,80893
1400000US06037125404,125404,2022,1871,80754.352,77574
1400000US06037125501,125501,2022,1612,64655.32,62109
1400000US06037125502,125502,2022,2084,81342.516,78139
1400000US06037125600,125600,2022,1343,109754.46,105432
1400000US06037127102,127102,2022,1632,52819.176,50739
1400000US06037127103,127103,2022,1374,60993.09,58591
1400000US06037127104,127104,2022,1436,65747.328,63158
1400000US06037127210,127210,2022,2017,65848.305,63255
1400000US06037127220,127220,2022,1792,46684.578,44846
1400000US06037127300,127300,2022,1430,74806.086,71860
1400000US06037127400,127400,2022,2030,68715.211,66009
1400000US06037127520,127520,2022,1497,50748.633,48750
1400000US06037127603,127603,2022,937,58024.164,55739
1400000US06037127604,127604,2022,1541,50748.633,48750
1400000US06037127605,127605,2022,1232,61317.883,58903
1400000US06037127606,127606,2022,1170,67576.359,64915
1400000US06037127711,127711,2022,1176,97271.859,93441
1400000US06037127712,127712,2022,1641,62994.93,60514
1400000US06037127803,127803,2022,1874,67255.734,64607
1400000US06037127804,127804,2022,1698,71411.398,68599
1400000US06037127805,127805,2022,1225,55068.773,52900
1400000US06037127806,127806,2022,1347,78925.313,75817
1400000US06037127910,127910,2022,1659,55987.973,53783
1400000US06037127920,127920,2022,1496,72344.125,69495
1400000US06037128101,128101,2022,1177,84023.078,80714
1400000US06037128102,128102,2022,1660,61005.582,58603
1400000US06037128210,128210,2022,1664,60043.699,57679
1400000US06037128220,128220,2022,1265,63905.801,61389
1400000US06037128302,128302,2022,1590,65631.773,63047
1400000US06037128303,128303,2022,1186,43022.348,41328
1400000US06037128400,128400,2022,1879,106134.91,101955
1400000US06037128500,128500,2022,2235,123316.58,118460
1400000US06037128601,128601,2022,1789,67125.609,64482
1400000US06037128602,128602,2022,1306,91954.445,88333
1400000US06037128703,128703,2022,1803,89609.07,86080
1400000US06037128704,128704,2022,1022,133739.05,128472
1400000US06037128801,128801,2022,2125,89297.813,85781
1400000US06037128802,128802,2022,2276,112066.52,107653
1400000US06037128910,128910,2022,1959,112774.39,108333
1400000US06037131021,131021,2022,1073,60724.512,58333
1400000US06037131022,131022,2022,1102,65728.586,63140
1400000US06037131023,131023,2022,824,81072.891,77880
1400000US06037131024,131024,2022,1094,97779.867,93929
1400000US06037131100,131100,2022,1083,109044.5,104750
1400000US06037131200,131200,2022,1216,106280.65,102095
1400000US06037131300,131300,2022,1196,72506.523,69651
1400000US06037131400,131400,2022,1912,92295.891,88661
1400000US06037131600,131600,2022,1482,87989.281,84524
1400000US06037131701,131701,2022,1864,96745.109,92935
1400000US06037131702,131702,2022,1286,77270.133,74227
1400000US06037131801,131801,2022,1131,55908.859,53707
1400000US06037131802,131802,2022,803,103149.33,99087
1400000US06037131900,131900,2022,1414,131459.27,126282
1400000US06037132001,132001,2022,1197,94743.273,91012
1400000US06037132002,132002,2022,1184,100360.5,96408
1400000US06037132101,132101,2022,1674,71043.922,68246
1400000US06037132102,132102,2022,2116,71358.305,68548
1400000US06037132301,132301,2022,1484,61922.703,59484
1400000US06037132302,132302,2022,995,90008.82,86464
1400000US06037132501,132501,2022,1323,77247.227,74205
1400000US06037132502,132502,2022,1306,61437.598,59018
1400000US06037132700,132700,2022,1764,83168.422,79893
1400000US06037132900,132900,2022,1367,100734.22,96767
1400000US06037133000,133000,2022,1459,90477.266,86914
1400000US06037133101,133101,2022,642,102798.52,98750
1400000US06037133102,133102,2022,1381,45934.02,44125
1400000US06037134001,134001,2022,962,83989.766,80682
1400000US06037134002,134002,2022,1196,71568.586,68750
1400000US06037134101,134101,2022,1426,84754.898,81417
1400000US06037134103,134103,2022,1380,88484.797,85000
1400000US06037134104,134104,2022,1361,78255.953,75174
1400000US06037134201,134201,2022,1375,95796.766,92024
1400000US06037134302,134302,2022,1391,127587.79,122563
1400000US06037134303,134303,2022,1924,96251.68,92461
1400000US06037134304,134304,2022,957,77944.695,74875
1400000US06037134305,134305,2022,1232,52339.277,50278
1400000US06037134306,134306,2022,1465,53369.867,51268
1400000US06037134421,134421,2022,1550,129882.15,124767
1400000US06037134422,134422,2022,1676,164445.34,157969
1400000US06037134423,134423,2022,1356,119911.48,115189
1400000US06037134424,134424,2022,1030,155108.64,149000
1400000US06037134520,134520,2022,2121,52194.578,50139
1400000US06037134521,134521,2022,781,55323.816,53145
1400000US06037134522,134522,2022,1563,51399.258,49375
1400000US06037134710,134710,2022,1660,54842.875,52683
1400000US06037134720,134720,2022,1790,89916.172,86375
1400000US06037134801,134801,2022,1147,101373.39,97381
1400000US06037134802,134802,2022,910,87427.141,83984
1400000US06037134901,134901,2022,1039,81745.375,78526
1400000US06037134904,134904,2022,1515,78875.352,75769
1400000US06037134905,134905,2022,3161,104206.98,100103
1400000US06037134906,134906,2022,1165,86717.18,83302
1400000US06037134907,134907,2022,1839,103414.78,99342
1400000US06037135102,135102,2022,1305,160053.38,153750
1400000US06037135111,135111,2022,1338,102527.85,98490
1400000US06037135113,135113,2022,1524,115018.78,110489
1400000US06037135115,135115,2022,1965,89701.727,86169
1400000US06037135116,135116,2022,1033,70956.477,68162
1400000US06037135201,135201,2022,936,128521.56,123460
1400000US06037135202,135202,2022,1531,135492.08,130156
1400000US06037135204,135204,2022,1639,117388.09,112765
1400000US06037135205,135205,2022,781,126313.61,121339
1400000US06037137000,137000,2022,1808,112660.92,108224
1400000US06037137103,137103,2022,2564,94693.305,90964
1400000US06037137104,137104,2022,1022,102481.01,98445
